Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
Generation average: -0.90368, best fitness:  -0.82264
***Doing generation 31 of 50***
Generation average: -0.90248, best fitness:  -0.82264
***Doing generation 32 of 50***
Generation average: -0.90279, best fitness:  -0.82264
***Doing generation 33 of 50***
Generation average: -0.90372, best fitness:  -0.82264
***Doing generation 34 of 50***
Generation average: -0.89940, best fitness:  -0.82264
***Doing generation 35 of 50***
Generation average: -0.90164, best fitness:  -0.82264
***Doing generation 36 of 50***
Generation average: -0.90213, best fitness:  -0.82264
***Doing generation 37 of 50***
Generation average: -0.90157, best fitness:  -0.82264
***Doing generation 38 of 50***
Generation average: -0.90328, best fitness:  -0.82264
***Doing generation 39 of 50***
Generation average: -0.90050, best fitness:  -0.82264
***Doing generation 40 of 50***
Generation average: -0.90017, best fitness:  -0.82264
***Doing generation 41 of 50***
Generation average: -0.90107, best fitness:  -0.82264
***Doing generation 42 of 50***
Generation average: -0.90136, best fitness:  -0.82264
***Doing generation 43 of 50***
Generation average: -0.90389, best fitness:  -0.82264
***Doing generation 44 of 50***
Generation average: -0.90500, best fitness:  -0.82264
***Doing generation 45 of 50***
Generation average: -0.90247, best fitness:  -0.82264
***Doing generation 46 of 50***
Generation average: -0.90296, best fitness:  -0.82264
***Doing generation 47 of 50***
Generation average: -0.90199, best fitness:  -0.82264
***Doing generation 48 of 50***
Generation average: -0.90313, best fitness:  -0.82264
***Doing generation 49 of 50***
Generation average: -0.90147, best fitness:  -0.82264
***Doing generation 50 of 50***
Generation average: -0.90559, best fitness:  -0.82264
