Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
Generation average: -0.20664, best fitness:  -0.20439
***Doing generation 189 of 200***
Generation average: -0.20659, best fitness:  -0.20390
***Doing generation 190 of 200***
Generation average: -0.20666, best fitness:  -0.20372
***Doing generation 191 of 200***
Generation average: -0.20541, best fitness:  -0.20303
***Doing generation 192 of 200***
Generation average: -0.20546, best fitness:  -0.20276
***Doing generation 193 of 200***
Generation average: -0.20481, best fitness:  -0.19903
***Doing generation 194 of 200***
Generation average: -0.20465, best fitness:  -0.19903
***Doing generation 195 of 200***
Generation average: -0.20407, best fitness:  -0.19870
***Doing generation 196 of 200***
Generation average: -0.20387, best fitness:  -0.19852
***Doing generation 197 of 200***
Generation average: -0.20218, best fitness:  -0.19772
***Doing generation 198 of 200***
Generation average: -0.20130, best fitness:  -0.19772
***Doing generation 199 of 200***
Generation average: -0.20048, best fitness:  -0.19772
***Doing generation 200 of 200***
Generation average: -0.19966, best fitness:  -0.19738
