Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
Generation average: -0.23318, best fitness:  -0.23011
***Doing generation 141 of 400***
Generation average: -0.23298, best fitness:  -0.23011
***Doing generation 142 of 400***
Generation average: -0.23177, best fitness:  -0.22907
***Doing generation 143 of 400***
Generation average: -0.23148, best fitness:  -0.22896
***Doing generation 144 of 400***
Generation average: -0.23064, best fitness:  -0.22675
***Doing generation 145 of 400***
Generation average: -0.22980, best fitness:  -0.22675
***Doing generation 146 of 400***
Generation average: -0.22950, best fitness:  -0.22675
***Doing generation 147 of 400***
Generation average: -0.23041, best fitness:  -0.22675
***Doing generation 148 of 400***
Generation average: -0.22901, best fitness:  -0.22467
***Doing generation 149 of 400***
Generation average: -0.22851, best fitness:  -0.22464
***Doing generation 150 of 400***
Generation average: -0.22765, best fitness:  -0.22213
***Doing generation 151 of 400***
Generation average: -0.22589, best fitness:  -0.22175
***Doing generation 152 of 400***
Generation average: -0.22593, best fitness:  -0.22175
***Doing generation 153 of 400***
Generation average: -0.22528, best fitness:  -0.22125
***Doing generation 154 of 400***
Generation average: -0.22387, best fitness:  -0.22071
***Doing generation 155 of 400***
Generation average: -0.22357, best fitness:  -0.22070
***Doing generation 156 of 400***
Generation average: -0.22246, best fitness:  -0.22070
***Doing generation 157 of 400***
Generation average: -0.22220, best fitness:  -0.21984
***Doing generation 158 of 400***
Generation average: -0.22214, best fitness:  -0.21932
***Doing generation 159 of 400***
Generation average: -0.22205, best fitness:  -0.21910
***Doing generation 160 of 400***
Generation average: -0.22065, best fitness:  -0.21814
***Doing generation 161 of 400***
Generation average: -0.22122, best fitness:  -0.21794
***Doing generation 162 of 400***
Generation average: -0.22042, best fitness:  -0.21780
***Doing generation 163 of 400***
Generation average: -0.21962, best fitness:  -0.21629
***Doing generation 164 of 400***
Generation average: -0.21884, best fitness:  -0.21477
***Doing generation 165 of 400***
Generation average: -0.21839, best fitness:  -0.21477
***Doing generation 166 of 400***
Generation average: -0.21778, best fitness:  -0.21412
***Doing generation 167 of 400***
Generation average: -0.21656, best fitness:  -0.21387
***Doing generation 168 of 400***
Generation average: -0.21506, best fitness:  -0.21387
***Doing generation 169 of 400***
Generation average: -0.21519, best fitness:  -0.21387
***Doing generation 170 of 400***
Generation average: -0.21496, best fitness:  -0.21336
***Doing generation 171 of 400***
Generation average: -0.21521, best fitness:  -0.21321
***Doing generation 172 of 400***
Generation average: -0.21461, best fitness:  -0.21321
***Doing generation 173 of 400***
Generation average: -0.21429, best fitness:  -0.21304
***Doing generation 174 of 400***
Generation average: -0.21386, best fitness:  -0.21283
***Doing generation 175 of 400***
Generation average: -0.21362, best fitness:  -0.21099
***Doing generation 176 of 400***
Generation average: -0.21330, best fitness:  -0.21081
***Doing generation 177 of 400***
Generation average: -0.21294, best fitness:  -0.21081
***Doing generation 178 of 400***
Generation average: -0.21276, best fitness:  -0.21081
***Doing generation 179 of 400***
Generation average: -0.21312, best fitness:  -0.21023
***Doing generation 180 of 400***
Generation average: -0.21205, best fitness:  -0.20985
***Doing generation 181 of 400***
Generation average: -0.21160, best fitness:  -0.20947
***Doing generation 182 of 400***
Generation average: -0.21137, best fitness:  -0.20909
***Doing generation 183 of 400***
Generation average: -0.21036, best fitness:  -0.20845
***Doing generation 184 of 400***
Generation average: -0.21047, best fitness:  -0.20845
***Doing generation 185 of 400***
Generation average: -0.21042, best fitness:  -0.20762
***Doing generation 186 of 400***
Generation average: -0.20977, best fitness:  -0.20762
***Doing generation 187 of 400***
Generation average: -0.20937, best fitness:  -0.20733
***Doing generation 188 of 400***
Generation average: -0.20936, best fitness:  -0.20694
***Doing generation 189 of 400***
Generation average: -0.20837, best fitness:  -0.20558
***Doing generation 190 of 400***
Generation average: -0.20773, best fitness:  -0.20535
***Doing generation 191 of 400***
Generation average: -0.20759, best fitness:  -0.20532
***Doing generation 192 of 400***
Generation average: -0.20702, best fitness:  -0.20442
***Doing generation 193 of 400***
Generation average: -0.20660, best fitness:  -0.20442
***Doing generation 194 of 400***
Generation average: -0.20651, best fitness:  -0.20355
***Doing generation 195 of 400***
Generation average: -0.20536, best fitness:  -0.20354
***Doing generation 196 of 400***
Generation average: -0.20606, best fitness:  -0.20354
***Doing generation 197 of 400***
Generation average: -0.20516, best fitness:  -0.20348
***Doing generation 198 of 400***
Generation average: -0.20445, best fitness:  -0.20290
***Doing generation 199 of 400***
Generation average: -0.20400, best fitness:  -0.20249
***Doing generation 200 of 400***
Generation average: -0.20437, best fitness:  -0.20188
***Doing generation 201 of 400***
Generation average: -0.20340, best fitness:  -0.20069
***Doing generation 202 of 400***
Generation average: -0.20356, best fitness:  -0.19970
***Doing generation 203 of 400***
Generation average: -0.20299, best fitness:  -0.19858
***Doing generation 204 of 400***
Generation average: -0.20160, best fitness:  -0.19837
***Doing generation 205 of 400***
Generation average: -0.20104, best fitness:  -0.19716
***Doing generation 206 of 400***
Generation average: -0.20070, best fitness:  -0.19716
***Doing generation 207 of 400***
Generation average: -0.19965, best fitness:  -0.19716
***Doing generation 208 of 400***
Generation average: -0.19870, best fitness:  -0.19696
***Doing generation 209 of 400***
Generation average: -0.19824, best fitness:  -0.19672
***Doing generation 210 of 400***
Generation average: -0.19792, best fitness:  -0.19622
***Doing generation 211 of 400***
